Week;Circuit
9;Bahrain Grand Prix
10;Bahrain Grand Prix
11;Saudi Arabian Grand Prix
12;Saudi Arabian Grand Prix
13;Australian Grand Prix
14;Australian Grand Prix
15;Chinese Grand Prix
16;Chinese Grand Prix
17;European Grand Prix
18;Miami Grand Prix
19;Miami Grand Prix
20;San Marino Grand Prix
21;Monaco Grand Prix
22;Spanish Grand Prix
23;Spanish Grand Prix
24;Canadian Grand Prix
25;Canadian Grand Prix
26;Austrian Grand Prix
27;British Grand Prix
28;British Grand Prix
29;Hungarian Grand Prix
30;Belgian Grand Prix
34;Dutch Grand Prix
35;Italian Grand Prix
36;Italian Grand Prix
37;Singapore Grand Prix
38;Japanese Grand Prix
39;Japanese Grand Prix
40;Qatar Grand Prix
41;Qatar Grand Prix
42;United States Grand Prix
43;Mexican Grand Prix
44;Brazilian Grand Prix
45;Brazilian Grand Prix
46;Las Vegas Grand Prix
47;Abu Dhabi Grand Prix
