,Weighting,Distance,TypeSim,SpeedSim,Temp,Prcp
0,0,77826.25043748695,12,20.578616444984466,28.900000000000002,1582.3000000000002
1,1,77826.25043748695,12,20.578616444984466,28.900000000000002,1582.3000000000002
2,2,77826.25043748695,12,20.578616444984466,28.900000000000002,1582.3000000000002
3,3,77826.25043748695,12,20.578616444984466,28.900000000000002,1582.3000000000002
4,4,77826.25043748695,12,20.578616444984466,28.900000000000002,1582.3000000000002
5,5,77826.25043748695,12,20.578616444984466,28.900000000000002,1582.3000000000002
6,6,76529.98110915774,12,20.529990610588108,29.3,1564.5
7,7,76529.98110915774,12,20.529990610588108,29.3,1564.5
8,8,76529.98110915774,12,20.529990610588108,29.3,1564.5
9,9,76494.71766485323,12,20.167866223804594,29.8,1559.0
10,10,75965.3120720276,12,20.419836299548628,32.6,1549.7
11,11,75965.3120720276,12,20.419836299548628,32.6,1549.7
12,12,74041.48737842697,13,20.988108446630026,30.60000000000001,1549.2
13,13,79164.43404571626,13,20.597923574365247,37.400000000000006,1466.1999999999998
14,14,72688.67804396892,13,20.810251107612757,71.9,1215.1
