month,Bahrain Grand Prix tavg,Bahrain Grand Prix tdiff,Bahrain Grand Prix prcp,Saudi Arabian Grand Prix tavg,Saudi Arabian Grand Prix tdiff,Saudi Arabian Grand Prix prcp,Australian Grand Prix tavg,Australian Grand Prix tdiff,Australian Grand Prix prcp,Chinese Grand Prix tavg,Chinese Grand Prix tdiff,Chinese Grand Prix prcp,European Grand Prix tavg,European Grand Prix tdiff,European Grand Prix prcp,Miami Grand Prix tavg,Miami Grand Prix tdiff,Miami Grand Prix prcp,San Marino Grand Prix tavg,San Marino Grand Prix tdiff,San Marino Grand Prix prcp,Monaco Grand Prix tavg,Monaco Grand Prix tdiff,Monaco Grand Prix prcp,Spanish Grand Prix tavg,Spanish Grand Prix tdiff,Spanish Grand Prix prcp,Canadian Grand Prix tavg,Canadian Grand Prix tdiff,Canadian Grand Prix prcp,Austrian Grand Prix tavg,Austrian Grand Prix tdiff,Austrian Grand Prix prcp,British Grand Prix tavg,British Grand Prix tdiff,British Grand Prix prcp,Hungarian Grand Prix tavg,Hungarian Grand Prix tdiff,Hungarian Grand Prix prcp,Belgian Grand Prix tavg,Belgian Grand Prix tdiff,Belgian Grand Prix prcp,Dutch Grand Prix tavg,Dutch Grand Prix tdiff,Dutch Grand Prix prcp,Italian Grand Prix tavg,Italian Grand Prix tdiff,Italian Grand Prix prcp,Singapore Grand Prix tavg,Singapore Grand Prix tdiff,Singapore Grand Prix prcp,Japanese Grand Prix tavg,Japanese Grand Prix tdiff,Japanese Grand Prix prcp,Qatar Grand Prix tavg,Qatar Grand Prix tdiff,Qatar Grand Prix prcp,United States Grand Prix tavg,United States Grand Prix tdiff,United States Grand Prix prcp,Mexican Grand Prix tavg,Mexican Grand Prix tdiff,Mexican Grand Prix prcp,Brazilian Grand Prix tavg,Brazilian Grand Prix tdiff,Brazilian Grand Prix prcp,Las Vegas Grand Prix tavg,Las Vegas Grand Prix tdiff,Las Vegas Grand Prix prcp,Abu Dhabi Grand Prix tavg,Abu Dhabi Grand Prix tdiff,Abu Dhabi Grand Prix prcp
1,17.6,2.3999999999999986,20.6,23.6,0.0,13.6,20.4,0.0,43.7,5.1,14.9,69.3,5.2,14.8,33.1,20.0,0.0,55.3,4.0,16.0,35.8,9.6,10.4,73.6,9.7,10.3,40.6,-7.4,27.4,84.2,-0.3,20.3,20.1,4.4,15.6,57,0.3,19.7,28.9,-0.2,20.2,121.9,4.0,16.0,66.1,4.2,15.8,69.2,27.4,2.3999999999999986,226.5,6.0,14.0,47.1,19.0,1.0,11.3,10.1,9.9,69.5,15.2,4.800000000000001,7.2,24.0,0.0,296.5,9.5,10.5,14.3,19.4,0.6000000000000014,14.8
2,19.0,1.0,11.9,24.4,0.0,3.6,20.4,0.0,38.2,6.8,13.2,65.3,5.0,15.0,28.6,21.5,0.0,58.9,5.3,14.7,36.0,9.8,10.2,53.3,10.2,9.8,31.8,-6.4,26.4,68.6,1.8,18.2,30.3,5.2,14.8,46,2.2,17.8,26.7,0.3,19.7,97.2,4.2,15.8,50.9,5.5,14.5,61.3,28.0,3.0,108.6,6.2,13.8,61.3,20.1,0.0,11.3,12.2,7.800000000000001,41.7,17.2,2.8000000000000007,3.2,24.5,0.0,259.1,11.8,8.2,20.7,21.0,0.0,5.6
3,22.4,0.0,14.8,26.0,1.0,2.2,18.4,1.6000000000000014,29.3,10.5,9.5,88.1,7.5,12.5,19.2,22.8,0.0,56.9,9.0,11.0,49.0,11.9,8.1,50.5,12.2,7.800000000000001,40.0,-0.8,20.8,89.1,6.2,13.8,35.2,6.0,14.0,49,6.8,13.2,30.0,3.4,16.6,88.5,5.8,14.2,45.5,9.4,10.6,75.6,28.6,3.6000000000000014,150.5,9.2,10.8,108.9,23.7,0.0,19.0,16.2,3.8000000000000007,75.2,18.8,1.1999999999999993,19.4,23.8,0.0,205.8,15.8,4.199999999999999,10.7,24.2,0.0,9.9
4,26.9,1.8999999999999986,7.1,28.6,3.6000000000000014,2.3,15.2,4.800000000000001,38.7,15.8,4.199999999999999,72.4,12.9,7.1,16.9,24.9,0.0,72.2,12.6,7.4,54.3,14.1,5.9,69.3,14.4,5.6,46.7,7.0,13.0,121.1,11.2,8.8,56.7,9.5,10.5,56,12.5,7.5,36.8,7.1,12.9,66.6,9.9,10.1,35.2,12.6,7.4,138.0,28.8,3.8000000000000007,164.6,14.1,5.9,138.5,28.2,3.1999999999999993,3.8,20.2,0.0,57.4,20.6,0.0,27.1,22.2,0.0,89.2,19.8,0.1999999999999993,5.2,28.7,3.6999999999999993,5.0
5,32.1,7.100000000000001,0.5,31.0,6.0,0.1,12.6,7.4,35.6,21.2,0.0,83.9,18.8,1.1999999999999993,16.8,26.5,1.5,159.3,17.2,2.8000000000000007,49.9,17.8,2.1999999999999993,42.4,17.8,2.1999999999999993,43.8,14.4,5.6,88.9,15.6,4.4,91.3,12.6,7.4,62,17.0,3.0,67.0,11.0,9.0,82.7,13.5,6.5,42.7,16.6,3.3999999999999986,177.7,29.0,4.0,162.8,19.1,0.8999999999999986,165.2,34.0,9.0,2.3,24.4,0.0,125.4,20.6,0.0,53.0,19.4,0.6000000000000014,63.7,25.0,0.0,1.8,32.4,7.399999999999999,0.4
6,34.6,9.600000000000001,0.0,32.2,7.200000000000003,0.1,10.4,9.6,38.9,24.7,0.0,192.0,23.6,0.0,9.4,28.2,3.1999999999999993,218.9,21.4,0.0,37.4,21.4,0.0,34.3,21.8,0.0,27.1,19.2,0.8000000000000007,106.6,19.4,0.6000000000000014,121.5,15.5,4.5,62,20.7,0.0,66.8,14.0,6.0,83.0,16.8,3.1999999999999993,58.9,20.5,0.0,171.6,28.8,3.8000000000000007,138.6,22.9,0.0,208.1,37.0,12.0,0.0,28.0,3.0,77.2,19.8,0.1999999999999993,127.1,18.5,1.5,55.3,30.7,5.699999999999999,1.1,34.4,9.399999999999999,0.0
7,36.0,11.0,0.0,33.4,8.399999999999999,0.3,9.8,10.2,31.6,29.0,4.0,150.9,26.4,1.3999999999999986,4.5,28.8,3.8000000000000007,166.2,23.8,0.0,33.9,24.2,0.0,13.3,24.6,0.0,26.7,22.0,0.0,98.2,21.0,0.0,124.5,17.7,2.3000000000000007,65,22.6,0.0,74.7,16.0,4.0,93.1,18.2,1.8000000000000007,62.6,22.8,0.0,157.7,28.4,3.3999999999999986,144.8,27.2,2.1999999999999993,194.0,37.8,12.799999999999997,0.0,29.0,4.0,60.8,19.1,0.8999999999999986,175.6,18.0,2.0,52.7,33.8,8.799999999999997,9.2,36.6,11.600000000000001,0.1
8,36.0,11.0,0.0,33.7,8.700000000000003,0.7,10.5,9.5,38.3,28.8,3.8000000000000007,215.6,26.6,1.6000000000000014,9.4,29.0,4.0,197.8,24.0,0.0,39.6,24.5,0.0,17.7,25.1,0.10000000000000142,51.4,21.2,0.0,108.5,20.6,0.0,126.9,17.0,3.0,64,22.4,0.0,60.1,15.8,4.199999999999999,90.1,18.2,1.8000000000000007,90.0,22.4,0.0,158.2,28.3,3.3000000000000007,149.0,28.2,3.1999999999999993,134.0,37.0,12.0,0.0,29.4,4.399999999999999,63.2,19.0,1.0,186.0,19.2,0.8000000000000007,25.6,33.0,8.0,7.8,37.1,12.100000000000001,0.0
9,34.0,9.0,0.0,32.4,7.399999999999999,0.1,12.2,7.800000000000001,42.3,25.0,0.0,96.9,22.0,0.0,25.6,28.3,3.3000000000000007,202.0,19.6,0.3999999999999986,75.2,21.2,0.0,83.7,22.0,0.0,82.7,17.2,2.8000000000000007,88.0,15.9,4.1,98.0,14.4,5.6,59,17.2,2.8000000000000007,48.4,12.3,7.699999999999999,91.9,15.3,4.699999999999999,86.2,18.2,1.8000000000000007,167.5,28.4,3.3999999999999986,124.1,24.5,0.0,244.2,34.8,9.799999999999997,0.0,26.2,1.1999999999999993,78.3,18.6,1.3999999999999986,144.2,20.3,0.0,82.4,28.5,3.5,8.1,34.4,9.399999999999999,0.0
10,30.6,5.600000000000001,0.3,30.8,5.800000000000001,1.8,14.2,5.800000000000001,43.6,19.8,0.1999999999999993,63.8,16.4,3.6000000000000014,32.9,26.8,1.8000000000000007,143.8,15.0,5.0,74.8,17.5,2.5,124.0,18.3,1.6999999999999993,81.5,9.6,10.4,99.9,11.0,9.0,68.7,11.2,8.8,63,11.8,8.2,41.2,8.0,12.0,93.4,11.8,8.2,96.7,13.6,6.4,149.8,28.4,3.3999999999999986,166.7,19.2,0.8000000000000007,165.9,31.3,6.300000000000001,0.6,20.9,0.0,113.4,17.6,2.3999999999999986,79.4,22.0,0.0,128.1,21.2,0.0,8.2,30.6,5.600000000000001,0.3
